inspection_id,inspection_date,region,application,voltage_class,installation_year,cable_age_years,cable_length_km,rated_voltage_kV,soil_corrosivity_index,ambient_temp_C,humidity_percent,load_factor,overload_events_last_year,fault_history_count,maintenance_score,months_since_maintenance,partial_discharge_pC,insulation_resistance_MOhm,tan_delta,health_index,risk_level,replacement_urgency_years,xlpe_demand_tons
INS-00001,2024-04-04,Egypt,Industrial,HV (35-150kV),1999,26,3.02,66.0,0.686,25.4,43.8,0.649,0,1,0.576,24,20.69,3424.0,0.00674,54.0,Medium,10.5,5.89
INS-00002,2025-04-20,Egypt,Power Distribution (MV),MV (1-35kV),2008,17,4.6,11.0,0.782,22.4,40.7,0.776,0,2,1.0,3,16.57,4458.0,0.00723,72.2,Low,13.0,3.91
INS-00003,2024-12-20,Egypt,Renewable Energy,LV (<1kV),2009,16,3.45,0.4,0.671,35.7,48.7,0.811,2,1,0.476,29,19.73,3946.0,0.00508,62.6,Medium,10.8,1.77
INS-00004,2023-08-19,Egypt,Telecommunications,LV (<1kV),2006,19,4.16,0.4,0.565,25.6,33.7,0.863,1,3,0.737,35,26.27,4173.0,0.0091,52.8,Medium,11.1,2.1
INS-00005,2024-07-17,Egypt,Power Transmission (HV),MV (1-35kV),1998,27,19.89,11.0,0.724,29.1,40.9,0.968,3,5,0.515,15,35.69,2510.0,0.01155,8.0,Critical,1.3,28.54
INS-00006,2023-07-09,Egypt,Telecommunications,MV (1-35kV),2004,21,4.55,11.0,0.647,22.5,37.1,0.924,0,1,0.787,28,18.57,3577.0,0.0048,66.3,Medium,13.9,3.66
INS-00007,2024-07-17,Egypt,Construction/Building,LV (<1kV),2006,19,1.83,0.4,0.663,25.6,39.9,0.719,1,1,1.0,32,22.63,4236.0,0.00606,69.4,Medium,15.0,0.73
INS-00008,2023-07-22,Egypt,Renewable Energy,LV (<1kV),2004,21,2.54,0.4,0.593,25.0,46.0,0.807,1,2,0.645,32,15.51,4748.0,0.00843,62.3,Medium,10.7,1.31
INS-00009,2025-05-21,Egypt,Construction/Building,MV (1-35kV),2015,10,3.2,11.0,0.633,32.9,66.9,0.751,0,2,0.565,3,10.67,4997.0,0.00543,82.1,Low,15.0,2.4
INS-00010,2023-07-27,Egypt,Power Transmission (HV),MV (1-35kV),2024,1,38.08,11.0,0.721,22.8,34.7,0.924,2,0,0.8,9,0.0,5842.0,0.0005,100.0,Low,15.0,28.56
INS-00011,2024-02-05,Egypt,Industrial,EHV (>150kV),1998,27,3.95,220.0,0.822,34.3,62.9,0.907,2,3,0.625,4,25.59,2489.0,0.01017,27.3,Critical,5.3,17.89
INS-00012,2023-06-30,Egypt,Power Transmission (HV),MV (1-35kV),1992,33,27.9,11.0,0.568,33.6,48.2,0.856,3,5,0.648,6,40.87,2662.0,0.01334,1.6,Critical,0.5,41.15
INS-00013,2025-01-28,Egypt,Renewable Energy,LV (<1kV),2001,24,1.99,0.4,0.705,27.8,53.6,0.871,3,2,0.463,27,20.44,2599.0,0.00825,35.7,High,6.2,1.26
INS-00014,2024-11-12,Egypt,Power Distribution (MV),HV (35-150kV),1988,37,8.74,66.0,0.702,34.4,59.4,0.851,4,2,0.644,22,31.49,2126.0,0.01048,10.9,Critical,2.0,24.47
INS-00015,2025-01-10,Egypt,Renewable Energy,MV (1-35kV),2008,17,4.16,11.0,0.809,36.1,43.5,0.813,1,0,0.456,30,13.5,3449.0,0.00599,67.8,Medium,11.7,3.81
INS-00016,2025-09-23,Egypt,Power Distribution (MV),EHV (>150kV),2007,18,8.44,220.0,0.623,38.3,41.7,0.818,2,3,0.968,3,23.88,3852.0,0.00632,54.9,Medium,9.9,31.1
INS-00017,2025-10-12,Egypt,Renewable Energy,LV (<1kV),2006,19,0.3,0.4,0.618,32.2,52.7,0.757,0,1,0.641,30,14.69,3881.0,0.0058,69.8,Medium,12.0,0.14
INS-00018,2024-12-27,Egypt,Telecommunications,MV (1-35kV),1997,28,3.12,11.0,0.734,34.6,51.1,0.953,1,5,0.518,2,33.73,2965.0,0.01117,16.2,Critical,3.4,4.15
INS-00019,2023-02-06,Egypt,Power Distribution (MV),MV (1-35kV),2005,20,3.74,11.0,0.651,29.9,27.8,0.746,1,3,0.849,24,12.57,3313.0,0.00733,55.8,Medium,10.0,3.74
INS-00020,2025-12-28,Egypt,Renewable Energy,MV (1-35kV),1993,32,3.78,11.0,0.659,31.3,45.1,0.943,3,0,0.699,19,22.96,2382.0,0.00739,38.2,High,6.6,4.42
INS-00021,2024-05-25,Egypt,Industrial,LV (<1kV),2012,13,4.74,0.4,0.579,28.3,47.5,0.882,6,0,0.901,9,9.18,5008.0,0.00475,77.2,Low,15.0,1.9
INS-00022,2023-12-14,Egypt,Power Transmission (HV),MV (1-35kV),2008,17,20.76,11.0,0.684,39.3,59.8,0.762,0,1,0.564,20,8.5,4498.0,0.00617,76.4,Low,12.0,18.68
INS-00023,2025-01-05,Egypt,Power Transmission (HV),LV (<1kV),2004,21,28.78,0.4,0.74,36.8,42.1,0.855,1,4,0.708,14,22.23,4421.0,0.00957,46.2,High,7.3,17.42
INS-00024,2025-01-21,Egypt,Construction/Building,MV (1-35kV),2002,23,3.14,11.0,0.616,27.0,23.8,0.797,0,0,0.701,33,25.77,4417.0,0.00411,68.9,Medium,15.0,2.36
INS-00025,2025-02-09,Egypt,Power Distribution (MV),LV (<1kV),1997,28,8.83,0.4,0.848,23.8,46.9,0.99,3,3,0.583,35,31.66,2677.0,0.01124,19.6,Critical,3.5,6.24
INS-00026,2023-06-03,Egypt,Telecommunications,MV (1-35kV),2002,23,3.66,11.0,0.636,36.8,37.6,0.785,0,1,0.7,34,21.87,3129.0,0.0063,58.1,Medium,12.2,3.26
INS-00027,2023-04-08,Egypt,Industrial,MV (1-35kV),2024,1,4.28,11.0,0.673,40.3,62.6,0.825,0,0,0.796,15,0.81,5986.0,0.0014,100.0,Low,15.0,3.21
INS-00028,2023-04-21,Egypt,Power Distribution (MV),MV (1-35kV),2003,22,4.66,11.0,0.673,33.6,60.0,0.857,4,3,0.649,13,27.12,3740.0,0.00703,36.2,High,6.5,5.48
INS-00029,2025-03-04,Egypt,Power Transmission (HV),HV (35-150kV),2013,12,26.33,66.0,0.749,25.1,50.0,0.797,0,0,0.531,1,0.0,4453.0,0.00218,92.2,Low,14.5,40.81
INS-00030,2025-03-16,Egypt,Power Transmission (HV),MV (1-35kV),2014,11,35.95,11.0,0.577,30.2,46.8,0.854,2,2,0.71,23,8.78,6081.0,0.00632,83.5,Low,13.2,30.2
INS-00031,2023-02-03,Egypt,Power Transmission (HV),HV (35-150kV),2018,7,13.2,66.0,0.72,35.9,47.2,0.858,1,0,0.519,10,5.37,5339.0,0.00248,97.0,Low,15.0,19.8
INS-00032,2025-04-02,Egypt,Power Transmission (HV),MV (1-35kV),2011,14,22.04,11.0,0.771,28.6,30.8,0.91,3,0,0.619,30,0.0,3817.0,0.00294,78.4,Low,12.3,19.51
INS-00033,2025-04-24,Egypt,Construction/Building,EHV (>150kV),1996,29,2.5,220.0,0.715,34.1,50.7,0.879,2,4,0.917,1,23.4,3639.0,0.00966,32.5,High,7.3,10.4
INS-00034,2023-11-14,Egypt,Industrial,MV (1-35kV),2001,24,1.91,11.0,0.907,20.3,31.0,0.873,1,1,0.639,35,15.69,3554.0,0.0066,55.3,Medium,10.8,1.83
INS-00035,2025-12-01,Egypt,Telecommunications,HV (35-150kV),2008,17,4.7,66.0,0.851,32.4,60.8,0.838,2,0,0.667,5,15.2,3236.0,0.00413,66.6,Medium,14.0,7.52
INS-00036,2024-07-07,Egypt,Power Transmission (HV),MV (1-35kV),1998,27,25.34,11.0,0.755,31.5,52.1,1.0,2,2,0.686,6,18.08,3231.0,0.00897,42.0,High,6.6,29.65
INS-00037,2023-02-16,Egypt,Telecommunications,MV (1-35kV),2001,24,3.73,11.0,0.658,34.1,55.1,0.8,2,1,0.708,13,18.77,2970.0,0.00636,51.5,Medium,10.8,3.58
INS-00038,2024-11-13,Egypt,Renewable Energy,HV (35-150kV),2000,25,3.63,66.0,0.839,35.0,28.7,0.878,1,5,0.677,25,46.45,3692.0,0.01006,19.0,Critical,3.3,9.69
INS-00039,2025-10-21,Egypt,Renewable Energy,HV (35-150kV),2003,22,0.21,66.0,0.773,36.0,51.7,0.787,0,0,0.622,22,13.24,3228.0,0.00582,66.8,Medium,11.5,0.39
INS-00040,2023-12-13,Egypt,Construction/Building,MV (1-35kV),2007,18,3.0,11.0,0.641,29.3,55.7,0.792,0,1,0.773,2,15.03,3235.0,0.00282,70.8,Low,15.0,2.25
INS-00041,2025-12-22,Egypt,Renewable Energy,EHV (>150kV),2017,8,1.32,220.0,0.674,24.0,47.8,0.778,0,0,0.786,7,3.36,5024.0,0.00371,100.0,Low,15.0,3.63
INS-00042,2025-08-04,Egypt,Telecommunications,LV (<1kV),2002,23,1.57,0.4,0.613,21.9,58.5,0.817,2,3,0.685,28,34.64,3257.0,0.00503,37.0,High,7.8,0.93
INS-00043,2025-10-03,Egypt,Telecommunications,LV (<1kV),2007,18,3.79,0.4,0.663,32.6,42.1,0.991,5,1,0.669,8,16.21,3832.0,0.0061,54.8,Medium,11.5,1.87
INS-00044,2024-05-28,Egypt,Power Distribution (MV),HV (35-150kV),2013,12,9.89,66.0,0.825,32.1,42.2,0.744,0,0,0.854,21,9.9,3647.0,0.00516,85.9,Low,15.0,14.84
INS-00045,2025-01-05,Egypt,Industrial,LV (<1kV),2002,23,1.96,0.4,0.775,22.2,51.1,0.722,0,3,0.913,24,24.1,3198.0,0.00858,48.0,High,9.4,1.08
INS-00046,2023-09-25,Egypt,Power Transmission (HV),MV (1-35kV),2001,24,28.06,11.0,0.787,35.3,31.4,0.803,2,6,0.628,12,32.53,3442.0,0.01278,16.3,Critical,2.6,38.44
INS-00047,2025-01-20,Egypt,Power Distribution (MV),EHV (>150kV),2004,21,4.48,220.0,0.93,31.9,21.3,0.815,2,1,0.68,35,17.36,3812.0,0.00445,57.9,Medium,10.4,16.1
INS-00048,2023-01-12,Egypt,Renewable Energy,LV (<1kV),2005,20,4.22,0.4,0.737,24.8,23.8,0.815,2,2,0.604,17,17.67,3598.0,0.00762,52.0,Medium,9.0,2.36
INS-00049,2025-04-06,Egypt,Telecommunications,HV (35-150kV),1994,31,3.65,66.0,0.712,30.2,45.1,0.877,1,1,0.76,16,29.29,2991.0,0.00865,40.1,High,8.4,7.88
INS-00050,2024-05-11,Egypt,Telecommunications,MV (1-35kV),2005,20,4.32,11.0,0.653,34.4,30.9,0.9,0,0,0.494,23,22.45,3473.0,0.00456,65.7,Medium,13.8,3.5
INS-00051,2023-10-20,Egypt,Telecommunications,MV (1-35kV),1986,39,4.44,11.0,0.749,23.3,50.9,0.921,4,8,0.657,3,44.32,2013.0,0.01725,0.0,Critical,0.5,6.55
INS-00052,2025-07-25,Egypt,Power Transmission (HV),LV (<1kV),1997,28,45.97,0.4,0.605,28.6,50.6,0.697,2,3,0.821,10,26.53,3214.0,0.0091,34.9,High,5.5,30.03
INS-00053,2025-09-14,Egypt,Construction/Building,HV (35-150kV),1999,26,3.19,66.0,0.638,30.5,30.0,0.913,1,6,1.0,4,29.6,3683.0,0.01184,27.1,Critical,6.1,7.62
INS-00054,2025-11-29,Egypt,Telecommunications,HV (35-150kV),1998,27,4.78,66.0,0.729,31.7,51.6,1.0,0,2,0.645,6,35.12,3574.0,0.00844,41.1,High,8.6,10.23
INS-00055,2023-12-22,Egypt,Telecommunications,HV (35-150kV),1997,28,2.65,66.0,0.885,28.1,50.5,0.823,1,3,0.61,5,28.45,2511.0,0.00891,27.6,Critical,5.8,6.41
INS-00056,2025-07-06,Egypt,Power Distribution (MV),HV (35-150kV),1999,26,5.32,66.0,0.719,30.2,31.4,0.925,3,6,0.676,4,39.08,3774.0,0.01117,11.5,Critical,2.1,14.84
INS-00057,2025-11-11,Egypt,Construction/Building,MV (1-35kV),2006,19,0.32,11.0,0.885,31.8,39.7,0.837,3,3,0.345,29,20.65,3737.0,0.00804,38.9,High,8.8,0.34
INS-00058,2025-12-19,Egypt,Industrial,LV (<1kV),2008,17,4.76,0.4,0.678,24.3,43.9,0.913,2,3,0.462,15,30.2,5021.0,0.00574,50.9,Medium,9.9,2.55
INS-00059,2025-10-13,Egypt,Telecommunications,LV (<1kV),2001,24,2.32,0.4,0.677,28.1,45.2,0.785,2,1,0.791,7,21.17,3153.0,0.00544,52.8,Medium,11.1,1.17
INS-00060,2024-12-29,Egypt,Renewable Energy,LV (<1kV),2006,19,2.95,0.4,0.784,26.7,40.5,0.661,0,0,0.582,31,2.26,4121.0,0.00607,79.5,Low,13.7,1.28
INS-00061,2023-04-16,Egypt,Industrial,MV (1-35kV),2000,25,0.61,11.0,0.748,30.0,33.4,1.0,1,2,0.782,13,16.26,2854.0,0.00892,47.9,High,9.3,0.63
INS-00062,2023-05-02,Egypt,Renewable Energy,LV (<1kV),1999,26,3.22,0.4,0.881,31.8,48.9,0.918,3,5,0.595,12,35.88,2748.0,0.01072,10.4,Critical,1.8,2.42
INS-00063,2025-08-14,Egypt,Telecommunications,LV (<1kV),2007,18,3.97,0.4,0.497,29.9,66.4,1.0,4,1,0.715,15,13.96,3192.0,0.006,58.1,Medium,12.2,1.88
INS-00064,2025-05-16,Egypt,Renewable Energy,MV (1-35kV),1998,27,3.7,11.0,0.703,37.9,54.5,1.0,1,6,0.458,18,32.27,3635.0,0.01318,14.9,Critical,2.6,5.07
INS-00065,2023-10-28,Egypt,Construction/Building,LV (<1kV),2008,17,1.26,0.4,0.839,29.9,56.7,0.904,2,1,0.594,25,9.18,4395.0,0.00493,69.0,Medium,15.0,0.5
INS-00066,2025-08-14,Egypt,Industrial,HV (35-150kV),2000,25,2.27,66.0,0.641,20.2,36.1,0.892,3,3,0.874,28,26.15,3641.0,0.01009,37.8,High,7.4,5.13
INS-00067,2023-05-31,Egypt,Power Distribution (MV),LV (<1kV),2006,19,1.66,0.4,0.655,33.7,44.2,0.858,0,0,0.35,24,8.97,3755.0,0.00268,73.9,Low,13.3,0.74
INS-00068,2025-10-06,Egypt,Construction/Building,MV (1-35kV),2001,24,3.55,11.0,0.761,24.7,38.8,1.0,2,6,0.816,19,39.98,3935.0,0.01362,17.7,Critical,4.0,4.61
INS-00069,2024-12-25,Egypt,Power Transmission (HV),MV (1-35kV),2018,7,44.18,11.0,0.793,31.7,59.4,0.906,1,2,0.703,23,16.02,4616.0,0.00452,79.0,Low,12.4,38.88
INS-00070,2023-03-26,Egypt,Power Transmission (HV),MV (1-35kV),2013,12,22.83,11.0,0.611,37.8,29.5,0.82,1,0,0.896,10,10.69,4632.0,0.00502,90.2,Low,14.2,18.04
INS-00071,2023-11-20,Egypt,Construction/Building,EHV (>150kV),2003,22,4.09,220.0,0.813,21.8,46.7,0.608,0,4,0.57,16,32.69,3544.0,0.0095,35.6,High,8.0,16.5
INS-00072,2024-07-12,Egypt,Telecommunications,MV (1-35kV),2004,21,1.05,11.0,0.739,24.4,65.5,0.878,3,4,0.569,20,30.68,4218.0,0.00912,33.1,High,7.0,1.21
INS-00073,2024-11-03,Egypt,Construction/Building,MV (1-35kV),2002,23,3.01,11.0,0.754,32.9,56.6,0.804,3,5,0.488,10,44.64,2652.0,0.01112,8.6,Critical,1.9,4.23
INS-00074,2024-07-07,Egypt,Telecommunications,LV (<1kV),2010,15,0.22,0.4,0.822,38.1,29.6,0.877,2,1,0.529,11,22.9,4070.0,0.00447,62.4,Medium,13.1,0.1
INS-00075,2023-03-08,Egypt,Renewable Energy,LV (<1kV),2002,23,4.48,0.4,0.725,27.1,34.9,0.785,0,1,0.466,5,22.72,2963.0,0.00723,52.0,Medium,9.0,2.51
INS-00076,2023-08-25,Egypt,Construction/Building,LV (<1kV),2017,8,2.34,0.4,0.55,23.4,44.9,0.861,2,3,0.417,16,7.12,4492.0,0.00598,71.1,Low,15.0,0.94
INS-00077,2025-04-14,Egypt,Construction/Building,MV (1-35kV),2010,15,3.16,11.0,0.779,31.0,41.9,0.863,2,1,0.627,2,6.05,3442.0,0.00506,69.3,Medium,15.0,2.37
INS-00078,2023-03-14,Egypt,Renewable Energy,LV (<1kV),2018,7,4.72,0.4,0.737,37.0,25.1,0.972,2,1,0.916,3,5.74,4654.0,0.00439,90.2,Low,15.0,1.89
INS-00079,2025-04-25,Egypt,Construction/Building,EHV (>150kV),2007,18,3.24,220.0,0.646,28.9,47.0,1.0,1,2,0.605,34,21.89,3869.0,0.0048,59.0,Medium,13.3,9.92
INS-00080,2023-09-20,Egypt,Renewable Energy,MV (1-35kV),2009,16,0.62,11.0,0.579,33.0,60.3,0.972,1,2,0.565,9,16.09,3641.0,0.00705,62.1,Medium,10.7,0.6
INS-00081,2024-02-09,Egypt,Renewable Energy,MV (1-35kV),2007,18,1.22,11.0,0.717,26.3,38.0,0.899,4,2,0.496,7,24.84,4078.0,0.00657,46.4,High,8.0,1.34
INS-00082,2023-07-02,Egypt,Construction/Building,HV (35-150kV),2005,20,2.95,66.0,0.601,32.9,29.7,0.953,2,0,0.632,11,12.51,4330.0,0.00484,71.4,Low,15.0,4.43
INS-00083,2025-08-02,Egypt,Power Distribution (MV),MV (1-35kV),2007,18,4.07,11.0,0.755,25.6,22.2,0.878,4,2,0.681,21,18.5,4519.0,0.00565,54.6,Medium,9.8,4.11
INS-00084,2024-01-01,Egypt,Power Transmission (HV),LV (<1kV),2023,2,28.33,0.4,0.746,26.6,65.1,0.864,0,0,0.595,24,1.57,3845.0,0.00159,100.0,Low,15.0,11.33
INS-00085,2024-01-05,Egypt,Telecommunications,MV (1-35kV),2013,12,3.85,11.0,0.522,35.0,37.4,0.708,0,0,0.875,4,9.06,5266.0,0.00282,98.9,Low,15.0,2.89
INS-00086,2024-11-16,Egypt,Power Distribution (MV),HV (35-150kV),2003,22,3.28,66.0,0.706,31.3,60.3,0.901,2,2,0.493,25,13.84,3125.0,0.00664,48.3,High,8.7,6.99
INS-00087,2023-03-29,Egypt,Power Transmission (HV),LV (<1kV),2014,11,29.48,0.4,0.814,23.8,51.1,0.721,0,0,0.685,22,8.95,4073.0,0.00267,88.5,Low,13.9,12.66
INS-00088,2023-10-29,Egypt,Renewable Energy,HV (35-150kV),1998,27,2.76,66.0,0.724,43.0,50.7,0.674,1,3,0.619,34,25.16,3227.0,0.008,36.2,High,6.2,6.57
INS-00089,2024-06-19,Egypt,Power Transmission (HV),MV (1-35kV),2014,11,29.24,11.0,0.744,36.0,45.8,0.881,0,3,0.698,31,19.43,4259.0,0.00793,67.4,Medium,10.6,28.36
INS-00090,2024-08-16,Egypt,Construction/Building,MV (1-35kV),2007,18,2.02,11.0,0.868,26.2,56.7,0.793,0,3,0.881,4,29.62,3997.0,0.00693,54.6,Medium,12.3,1.79
INS-00091,2025-10-16,Egypt,Industrial,MV (1-35kV),2006,19,0.48,11.0,0.707,29.1,40.5,0.92,3,1,0.793,18,12.35,3834.0,0.00642,62.8,Medium,12.2,0.43
INS-00092,2024-08-03,Egypt,Construction/Building,MV (1-35kV),1997,28,2.16,11.0,0.822,32.9,42.7,0.754,1,3,0.671,19,20.85,2787.0,0.00801,34.8,High,7.8,2.4
INS-00093,2023-09-27,Egypt,Power Transmission (HV),MV (1-35kV),2007,18,47.18,11.0,0.74,34.5,59.3,0.86,0,0,0.672,31,12.41,4268.0,0.00365,79.4,Low,12.5,41.28
INS-00094,2024-11-02,Egypt,Power Distribution (MV),LV (<1kV),2012,13,7.71,0.4,0.849,28.6,44.8,0.775,0,0,0.286,7,16.96,3746.0,0.00336,73.8,Low,13.3,3.43
INS-00095,2024-07-26,Egypt,Telecommunications,LV (<1kV),2001,24,2.15,0.4,0.709,34.4,35.8,0.739,0,4,0.735,4,24.73,3379.0,0.01027,39.5,High,8.3,1.24
INS-00096,2024-07-24,Egypt,Power Distribution (MV),MV (1-35kV),1987,38,5.65,11.0,0.724,37.1,31.6,0.905,2,2,0.632,22,40.68,2702.0,0.00991,13.9,Critical,2.5,7.77
INS-00097,2023-08-15,Egypt,Power Transmission (HV),LV (<1kV),2009,16,16.64,0.4,0.694,27.6,35.5,0.862,4,3,0.894,25,16.52,3918.0,0.00644,53.4,Medium,8.4,9.58
INS-00098,2023-08-26,Egypt,Construction/Building,MV (1-35kV),2017,8,2.31,11.0,0.619,29.0,31.4,0.824,1,0,0.528,8,10.79,4355.0,0.00388,88.6,Low,15.0,1.73
INS-00099,2025-10-09,Egypt,Renewable Energy,MV (1-35kV),2014,11,0.91,11.0,0.712,22.2,58.0,1.0,0,1,0.677,4,5.73,5013.0,0.00419,89.9,Low,15.0,0.68
INS-00100,2025-07-31,Egypt,Telecommunications,HV (35-150kV),2001,24,1.68,66.0,0.614,31.8,39.0,0.878,0,2,0.723,6,21.8,2992.0,0.00894,50.5,Medium,10.6,3.26
INS-00101,2023-10-16,Egypt,Power Distribution (MV),HV (35-150kV),2015,10,8.86,66.0,0.808,21.9,46.6,0.79,2,1,0.896,22,11.02,5001.0,0.00352,85.1,Low,15.0,13.29
INS-00102,2025-04-24,Egypt,Renewable Energy,HV (35-150kV),1998,27,0.62,66.0,0.608,32.5,53.7,0.812,1,1,0.869,12,18.33,3747.0,0.00681,57.7,Medium,10.0,1.24
INS-00103,2023-06-22,Egypt,Construction/Building,MV (1-35kV),2001,24,2.85,11.0,0.775,29.3,35.3,0.961,3,1,0.632,24,22.82,2976.0,0.00764,43.6,High,9.8,2.88
INS-00104,2023-03-09,Egypt,Construction/Building,HV (35-150kV),1999,26,1.59,66.0,0.646,34.0,48.7,1.0,0,1,0.367,11,23.65,3292.0,0.00873,48.1,High,10.8,3.05
INS-00105,2023-12-09,Egypt,Telecommunications,HV (35-150kV),2014,11,1.5,66.0,0.573,21.9,40.0,0.885,2,2,0.859,9,16.09,4943.0,0.00539,76.9,Low,15.0,2.25
INS-00106,2023-08-02,Egypt,Renewable Energy,EHV (>150kV),1995,30,2.38,220.0,0.661,25.6,41.5,0.814,5,3,0.619,1,23.06,2576.0,0.00845,18.8,Critical,3.2,11.69
INS-00107,2023-12-07,Egypt,Renewable Energy,MV (1-35kV),2010,15,4.55,11.0,0.568,29.1,29.1,0.709,1,1,0.261,13,23.18,3838.0,0.00452,62.6,Medium,10.8,4.37
INS-00108,2024-03-20,Egypt,Telecommunications,MV (1-35kV),1997,28,2.61,11.0,0.738,29.1,37.2,0.831,1,4,0.544,19,26.39,3351.0,0.01042,27.5,Critical,5.8,3.16
INS-00109,2023-02-10,Egypt,Renewable Energy,HV (35-150kV),1995,30,0.11,66.0,0.646,27.6,46.5,1.0,0,3,0.785,28,34.75,3119.0,0.00833,33.4,High,5.8,0.27
INS-00110,2023-08-23,Egypt,Power Distribution (MV),MV (1-35kV),2011,14,6.95,11.0,0.818,21.3,47.1,0.926,2,1,0.478,17,14.96,4108.0,0.0067,65.9,Medium,11.9,6.29
INS-00111,2024-11-09,Egypt,Power Distribution (MV),EHV (>150kV),1980,45,8.18,220.0,0.651,29.1,30.1,0.955,1,5,0.6,15,48.21,1790.0,0.01473,0.0,Critical,0.5,44.24
INS-00112,2025-04-16,Egypt,Power Distribution (MV),LV (<1kV),2004,21,4.59,0.4,0.604,27.8,45.5,0.834,2,2,0.406,12,30.11,2955.0,0.00734,39.9,High,7.2,2.79
INS-00113,2023-02-28,Egypt,Power Distribution (MV),LV (<1kV),2013,12,0.79,0.4,0.71,24.5,41.4,0.67,1,1,0.597,23,12.26,4275.0,0.00354,77.9,Low,14.0,0.34
INS-00114,2023-10-27,Egypt,Construction/Building,MV (1-35kV),2003,22,1.99,11.0,0.753,19.8,46.8,0.732,0,3,0.532,21,23.18,2765.0,0.00753,42.5,High,9.6,2.03
INS-00115,2023-03-05,Egypt,Power Transmission (HV),MV (1-35kV),2002,23,11.26,11.0,0.826,40.4,35.8,0.597,2,2,0.607,21,23.75,3312.0,0.00812,42.9,High,6.8,13.06
INS-00116,2024-02-11,Egypt,Industrial,EHV (>150kV),2001,24,3.64,220.0,0.809,30.5,48.1,0.811,0,4,0.707,32,28.99,2420.0,0.00972,31.5,High,6.1,15.95
INS-00117,2024-12-20,Egypt,Power Transmission (HV),MV (1-35kV),2001,24,37.66,11.0,0.458,29.5,54.6,1.0,4,0,0.475,17,22.42,1856.0,0.00646,41.6,High,6.6,44.06
INS-00118,2023-01-01,Egypt,Power Distribution (MV),MV (1-35kV),2002,23,7.03,11.0,0.795,35.5,40.9,0.775,0,2,0.57,7,27.99,3270.0,0.00724,46.7,High,8.4,7.59
INS-00119,2024-01-10,Egypt,Industrial,MV (1-35kV),2002,23,0.53,11.0,0.715,25.9,44.8,0.686,0,1,0.405,13,22.5,3512.0,0.00614,54.6,Medium,10.6,0.51
INS-00120,2024-12-26,Egypt,Power Distribution (MV),HV (35-150kV),2005,20,7.22,66.0,0.539,26.2,37.3,0.756,2,3,0.662,21,23.5,3589.0,0.00662,47.4,High,8.5,15.52
INS-00121,2025-04-29,Egypt,Construction/Building,MV (1-35kV),1998,27,4.13,11.0,0.615,40.3,53.2,0.598,0,2,0.92,4,25.36,3198.0,0.00837,49.4,High,11.1,3.9
INS-00122,2024-03-03,Egypt,Power Distribution (MV),HV (35-150kV),2019,6,3.08,66.0,0.613,28.9,50.6,0.788,1,1,0.339,29,7.26,4645.0,0.00215,87.3,Low,15.0,4.62
INS-00123,2024-06-06,Egypt,Industrial,MV (1-35kV),1996,29,4.56,11.0,0.715,32.0,44.0,0.877,2,1,0.563,23,28.32,2705.0,0.00722,36.3,High,7.1,5.22
INS-00124,2024-02-01,Egypt,Power Transmission (HV),MV (1-35kV),2011,14,47.48,11.0,0.681,21.3,45.0,0.753,0,2,0.841,7,16.95,4153.0,0.00725,72.7,Low,11.5,43.92
INS-00125,2023-02-22,Egypt,Power Transmission (HV),MV (1-35kV),1989,36,26.25,11.0,0.638,28.6,48.7,0.947,1,6,0.89,21,38.5,1985.0,0.01246,0.2,Critical,0.5,38.72
INS-00126,2024-10-26,Egypt,Power Distribution (MV),LV (<1kV),2002,23,4.1,0.4,0.677,25.0,19.4,0.831,2,4,0.757,28,31.42,3460.0,0.00979,32.7,High,5.9,2.63
INS-00127,2024-04-15,Egypt,Renewable Energy,MV (1-35kV),2003,22,2.9,11.0,0.855,39.4,52.9,0.953,4,1,0.67,3,20.46,3557.0,0.00578,47.8,High,8.2,3.16
